Dist1,Dist2,Dist3,Dist4,Dist5,Dist6,Dist7,Choice,Velocity
67,117,148,60,120,149,56,4.0,0.2600000000000003
59,123,148,58,82,150,67,8.0,0.4550000000000005
63,146,149,57,85,149,67,3.0,0.1600000000000002
65,148,85,59,85,149,64,3.0,0.4850000000000005
65,147,81,60,90,150,61,3.0,0.7
64,148,82,61,94,149,56,3.0,0.7
59,148,84,65,97,150,54,8.0,0.5849999999999999
57,148,88,68,98,150,52,3.0,0.6799999999999999
53,147,91,69,93,149,53,8.0,0.6699999999999999
53,148,93,68,81,107,149,0.0,0.0399999999999994
54,148,89,68,82,106,149,6.0,0.1499999999999994
60,147,85,69,82,102,149,0.0,0.0049999999999994
63,147,83,68,83,101,149,6.0,0.1199999999999994
99,148,78,71,81,149,149,0.0,0.3299999999999996
147,128,78,73,74,149,149,0.0,0.0299999999999994
148,122,80,73,71,149,149,6.0,0.2099999999999995
148,110,83,65,149,149,148,0.0,0.4349999999999997
148,113,80,150,134,144,148,0.0,0.1349999999999994
148,113,77,149,131,145,148,8.0,0.0049999999999994
148,114,77,149,131,145,148,0.0,0.0049999999999994
148,115,73,149,123,146,148,6.0,0.2299999999999995
148,116,65,149,115,148,148,0.0,0.0849999999999994
148,116,63,149,114,149,148,0.0,0.0049999999999994
148,117,63,148,114,148,148,8.0,0.0049999999999994
148,118,64,148,114,148,148,0.0,0.0049999999999994
149,118,63,147,114,148,148,8.0,0.0049999999999994
148,119,63,146,114,149,148,3.0,0.0949999999999994
149,132,149,135,104,143,148,8.0,0.2149999999999995
148,140,149,130,98,135,148,3.0,0.1749999999999995
148,149,149,120,89,122,148,8.0,0.1199999999999994
86,149,149,127,82,101,148,4.0,0.2949999999999996
99,149,141,132,63,63,123,8.0,0.3999999999999997
106,148,149,117,54,53,109,2.0,-0.2400000000000007
94,148,121,143,70,70,131,8.0,-0.1949999999999999
92,148,108,149,73,73,133,4.0,0.1200000000000002
106,148,134,149,63,54,92,8.0,0.2650000000000003
103,148,138,150,66,57,95,2.0,-0.3
90,148,144,150,84,74,119,8.0,-0.1649999999999998
90,149,148,150,86,74,118,4.0,0.1250000000000002
109,113,149,149,78,58,79,8.0,0.2350000000000003
113,117,149,149,73,54,75,2.0,-0.1049999999999998
99,103,149,149,93,68,94,2.0,-0.3
82,88,148,150,110,84,116,4.0,-0.1449999999999998
89,88,149,149,112,80,106,4.0,0.2300000000000003
116,101,149,149,104,64,75,8.0,0.1650000000000002
118,103,148,150,102,62,73,2.0,-0.0499999999999998
105,91,149,149,120,74,85,2.0,-0.3
90,78,149,149,139,87,100,2.0,-0.1249999999999998
71,62,149,117,149,103,118,2.0,-0.3
61,53,149,123,150,111,128,4.0,0.0350000000000002
82,61,149,133,149,106,109,4.0,0.3100000000000004
129,83,149,133,149,91,85,8.0,0.2450000000000003
148,93,149,131,149,84,74,4.0,0.2150000000000003
148,133,118,148,149,91,58,4.0,0.5200000000000006
110,148,138,148,149,86,44,8.0,0.4100000000000005
98,148,148,79,149,71,37,2.0,0.0700000000000001
102,148,144,148,149,81,41,2.0,-0.29
122,148,134,149,149,89,46,4.0,-0.0349999999999997
88,148,139,148,149,108,46,4.0,0.2900000000000003
75,148,147,148,149,107,43,8.0,0.0250000000000001
74,148,147,149,149,108,43,4.0,0.0400000000000001
53,148,148,148,114,149,45,4.0,0.3550000000000004
47,148,148,148,103,149,48,8.0,0.1750000000000002
48,148,147,148,104,149,48,2.0,-0.1099999999999998
47,148,148,148,100,149,48,8.0,-0.0799999999999998
47,148,148,148,100,149,50,4.0,0.1400000000000002
44,113,147,148,78,149,73,8.0,0.3100000000000004
48,124,148,148,74,149,78,3.0,0.1250000000000002
52,142,148,60,69,149,81,8.0,0.3050000000000004
55,148,148,57,70,149,81,6.0,0.0950000000000002
66,148,147,54,149,138,65,8.0,0.2000000000000003
63,148,148,54,148,134,69,4.0,0.2850000000000003
65,148,88,54,149,127,68,8.0,1.786765180256111e-16
65,148,88,54,149,127,68,0.0,1.786765180256111e-16
64,148,87,54,148,125,69,3.0,0.1550000000000002
71,148,74,149,123,76,53,8.0,0.3550000000000004
67,148,79,148,113,66,48,1.0,0.0300000000000001
67,148,79,148,115,66,47,1.0,1.786765180256111e-16
67,148,82,148,115,66,49,4.0,0.1150000000000002
56,129,147,136,135,60,42,4.0,0.4450000000000005
43,88,148,84,148,59,31,3.0,0.7
Dist1,Dist2,Dist3,Dist4,Dist5,Dist6,Dist7,,
58,149,69,43,68,148,57,3.0,0.2250000000000001
55,122,94,42,52,148,72,8.0,0.3200000000000002
59,137,75,38,50,148,73,3.0,0.22
64,149,63,38,51,148,70,0.0,0.0049999999999999
63,149,63,38,51,148,70,3.0,0.0149999999999999
71,149,54,38,59,148,62,8.0,0.0349999999999999
71,149,53,38,61,148,62,3.0,0.17
70,149,52,41,68,148,58,3.0,0.5000000000000003
69,149,58,47,83,148,48,3.0,0.7
53,149,71,56,99,134,39,1.0,0.6099999999999999
41,140,97,55,66,148,54,8.0,0.2949999999999996
45,149,93,52,66,148,55,3.0,0.1199999999999994
47,149,88,51,65,148,57,8.0,0.0099999999999994
46,150,86,50,65,148,58,3.0,0.1699999999999994
48,149,83,50,62,148,59,8.0,0.0499999999999994
51,149,78,48,63,148,59,3.0,0.3699999999999996
54,149,74,46,61,147,60,1.0,0.0549999999999994
51,147,87,45,52,148,71,8.0,0.2049999999999995
52,146,86,45,52,145,73,4.0,0.0599999999999993
52,137,89,43,50,142,77,8.0,0.0049999999999994
53,138,88,43,49,141,77,2.0,-0.0300000000000006
50,130,95,45,50,148,76,8.0,-0.0350000000000006
52,138,88,44,49,140,77,3.0,0.2799999999999996
61,150,71,37,132,114,76,8.0,0.3749999999999996
62,149,68,34,116,96,75,4.0,0.3849999999999997
